src,tgt
Cl.COC(=O)c1ccc(C(C)N)cc1.O=C(O)c1cc(Cl)ccc1Oc1c(F)cccc1F,COC(=O)c1ccc(C(C)NC(=O)c2cc(Cl)ccc2Oc2c(F)cccc2F)cc1
CCN(CC)P1(=NC(C)(C)C)N(C)CCCN1C.CS(N)(=O)=O.O=C(Nc1ccc(Cl)c(-c2ccccn2)c1)c1ccc(Cl)nc1,CS(=O)(=O)Nc1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)cn1
O=C(c1ccc([N+](=O)[O-])cc1Cl)N1Cc2ccsc2Cc2ncccc21.[Cl-].CCO,Nc1ccc(C(=O)N2Cc3ccsc3Cc3ncccc32)c(Cl)c1
O=C(Cl)c1ccc2sccc2c1.Nc1cccc(Oc2ccnc3[nH]c(=O)[nH]c23)c1,O=C(Nc1cccc(Oc2ccnc3[nH]c(=O)[nH]c23)c1)c1ccc2sccc2c1
O=C1CCC(=O)N1Br.CCOC(=O)c1cc2cc(Cl)ccc2[nH]1.CN(C)C=O,CCOC(=O)c1[nH]c2ccc(Cl)cc2c1Br
O=C(c1ccccc1)c1ccccc1[N+](=O)[O-].CC(C)O.CC(C)(C)OC(=O)NC(Cc1cc(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)ccc1[N+](=O)[O-])C(=O)OC(C)(C)C,CC(C)(C)OC(=O)NC(Cc1cc(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)ccc1N)C(=O)OC(C)(C)C
O=c1[nH]c2nccnc2n1C1CCN(Cc2ccccc2)CC1.CO.[H][H],O=c1[nH]c2nccnc2n1C1CCNCC1
CC(C)(C)C(=O)Oc1ccc2ccc(-n3cccn3)cc2c1.O=C=O,O=C(O)c1ccc2ccc(-n3cccn3)cc2c1
CN1CCC(C(=O)c2cccc(N)c2)CC1.O=C(Cl)c1c(F)cc(F)cc1F,CN1CCC(C(=O)c2cccc(NC(=O)c3c(F)cc(F)cc3F)c2)CC1
COCCNC1CCCCC1.O=C(Nc1ccc2[nH]ncc2c1)c1cc(Cl)ncn1,COCCN(c1cc(C(=O)Nc2ccc3[nH]ncc3c2)ncn1)C1CCCCC1
Cc1cc(-n2nc(C(C)(C)C)cc2N)ccc1S(=O)(=O)NCCN1CCOCC1.Cc1cc(Oc2ccc(N)c(F)c2)ccn1.C1CCOC1,Cc1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(S(=O)(=O)NCCN4CCOCC4)c(C)c3)c(F)c2)ccn1
O=Cc1ccc(OCc2ccccc2F)c(Cc2ccccc2F)c1.CC(N)C(N)=O.Cl,CC(NCc1ccc(OCc2ccccc2F)c(Cc2ccccc2F)c1)C(N)=O
Cc1ccc(-c2cn(C3CCN(C(=O)OC(C)(C)C)CC3)c(=O)[nH]2)cc1.ClCCl.O=C(O)C(F)(F)F,Cc1ccc(-c2cn(C3CCNCC3)c(=O)[nH]2)cc1
O.CCOC(=O)N1CCc2sc(Br)c(Br)c2CC1,CCOC(=O)N1CCc2scc(Br)c2CC1
COC(=O)c1cc(C)c(S(=O)(=O)Nc2nc3ccccc3nc2Cl)s1.CCO.COc1cc(N)cc(OC)c1,COC(=O)c1cc(C)c(S(=O)(=O)Nc2nc3ccccc3nc2Nc2cc(OC)cc(OC)c2)s1
BrB(Br)Br.ClCCl.OCc1ccc(F)c(Br)c1,Fc1ccc(CBr)cc1Br
COc1cc(OC2CN(C(=O)OC(C)(C)C)C2)ccc1CN1CCOCC1.ClCCl.O=C(O)C(F)(F)F,COc1cc(OC2CNC2)ccc1CN1CCOCC1
CC(C)OC1=CC(=O)c2c(F)cc(F)cc2C1=O.CO.Cl,COC1=CC(=O)c2c(F)cc(F)cc2C1=O
CC1CN(c2cc(=O)c3cc(C(=O)O)cc(C4CCCN4c4cccc(F)c4)c3o2)CCO1.CNC,CC1CN(c2cc(=O)c3cc(C(=O)N(C)C)cc(C4CCCN4c4cccc(F)c4)c3o2)CCO1
COC(=O)c1cc(Cl)cn1N.O=Cc1ccc(C(F)(F)F)cc1.CO,COC(=O)c1cc(Cl)cn1N=Cc1ccc(C(F)(F)F)cc1
O=C1CC([N+](=O)[O-])([N+](=O)[O-])CO1.CC(C(=O)O)[N+](=O)[O-],CC(C(=O)O)([N+](=O)[O-])[N+](=O)[O-]
