src,tgt
CCCC[N+](CCCC)(CCCC)CCCC.[Cs+].[I-].OCc1ccccc1B(O)O.O=C([O-])[O-].COC(=O)c1cc(Br)cc(-c2ccc(C)cc2C#N)c1.CN(C)C=O.O,CCOC(=O)c1cc(-c2ccc(C)cc2C#N)cc(-c2ccccc2CO)c1
Cl.[NH4+].[OH-].CC(C)C(=O)C(C(=O)c1ccc(F)cc1O)c1ccc(Cl)cc1.CC(=O)O.CCOC(C)=O,CC(C)c1oc2cc(F)ccc2c(=O)c1-c1ccc(Cl)cc1
BrCC1CC1.O=C1CCN(Cc2ccccc2)CC1.CC1NC(=O)C2(CCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)N1c1ccccc1,CC1N(CC2CC2)C(=O)C2(CCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)N1c1ccccc1
c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1.O=C([O-])O.[Na+].CCOC(=O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3Br)cc1)n2C1CCCCC1.OB(O)c1ccc(Cl)cc1.COCCOC.ClC(Cl)Cl,CCOC(=O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1
[BH4-].[Na+].Fc1ccc(-c2cc(N3CCN(c4ncccc4C(F)(F)F)CC3)nc(-c3ccncc3)n2)cc1Cl.CC(C)Br.CN(C)C=O.O,CC(C)N1CC=C(c2nc(-c3ccc(F)c(Cl)c3)cc(N3CCN(c4ncccc4C(F)(F)F)CC3)n2)CC1
Cl.FC(F)Oc1ccc(C#Cc2cccc(C3OCCO3)c2)cc1.C1CCOC1.O,O=Cc1cccc(C#Cc2ccc(OC(F)F)cc2)c1
CCN=C=NCCCN(C)C.Cl.O=C(O)C(c1ccccc1)c1ccccc1.CC(C)(C)OC(=O)n1nc(N)cc1C1CC1.ClCCl,CC(C)(C)OC(=O)n1nc(NC(=O)C(c2ccccc2)c2ccccc2)cc1C1CC1
O=C([O-])[O-].[K+].Fc1ccc(CBr)nc1.CC(=O)Nc1cc2c(cc1[N+](=O)[O-])NC(=O)C2(C)C,CC1(C)C(=O)N(Cc2ccc(F)cn2)c2cc([N+](=O)[O-])c(N)cc21
[Pd].CCOC(=O)C(C)=Cc1cccnc1.CCO,CCOC(=O)C(C)Cc1cccnc1
Cl.COc1cc(C(=O)O)ccc1-c1ccncc1.O=S(=O)(c1ccc2cc(Cl)ccc2c1)N1CCNCC1,COc1cc(C(=O)N2CCN(S(=O)(=O)c3ccc4cc(Cl)ccc4c3)CC2)ccc1-c1ccncc1
CS(=O)(=O)Cl.O=C([O-])[O-].[Na+].N#CCC(C1CCCC1)n1cc(-c2ccnc(Cl)n2)cn1.Nc1ccc(N2CCNCC2)cc1.Cc1ccc(S(=O)(=O)O)cc1.O.C1COCCO1,CS(=O)(=O)N1CCN(c2ccc(Nc3nccc(-c4cnn(C(CC#N)C5CCCC5)c4)n3)cc2)CC1
[Pd].CC(C)(C)OC(=O)NCC(O)CNC(=O)[C@H](CCNC(=O)OCc1ccccc1)NC(=O)OC(C)(C)C.CCO,CC(C)(C)OC(=O)NCC(O)CNC(=O)[C@H](CCN)NC(=O)OC(C)(C)C
Cl.[Na+].[OH-].CCCOc1ccc2c(c1)C(c1ccc(OC)cc1-c1cccc(C(=O)O)c1)C(C(=O)OC)C2c1ccc2c(c1)OCO2.CC(C)O.O,CCCOc1ccc2c(c1)C(c1ccc(OC)cc1-c1cccc(C(=O)O)c1)C(C(=O)O)C2c1ccc2c(c1)OCO2
CC(C)(C)OC(=O)N1CCCN1.O=C(O)c1cnc(OCC(F)(F)F)c(-c2ccc(Cl)cc2)c1,CC(C)(C)OC(=O)N1CCCN1C(=O)c1cnc(OCC(F)(F)F)c(-c2ccc(Cl)cc2)c1
O=C(Cl)C(=O)Cl.c1ccc(C2CCNCC2)cc1.O=C(O)C1CN(Cc2ccccc2)CC12CCCc1ccccc12.ClCCl.CN(C)C=O.CCN(CC)CC,O=C(C1CN(Cc2ccccc2)CC12CCCc1ccccc12)N1CCC(c2ccccc2)CC1
Cl.CS(=O)(=O)Cl.N[C@H]1CC[C@H](Oc2cc(F)ccc2[N+](=O)[O-])CC1.CCN(CC)CC.ClCCl,CS(=O)(=O)N[C@H]1CC[C@H](Oc2cc(F)ccc2[N+](=O)[O-])CC1
CC(=O)c1ccc(CO)cc1.NOCc1ccc(Cl)c(C(F)(F)F)c1.CO.CC(=O)O,CC(=NOCc1ccc(Cl)c(C(F)(F)F)c1)c1ccc(CO)cc1
[Na+].[OH-].COC[C@@H]1Cc2ccccc2N1C(=O)OC(C)(C)C.ClCCl.O=C(O)C(F)(F)F,COC[C@@H]1Cc2ccccc2N1
COc1ccc2c(c1CCCCC1CCN(C(=O)OC(C)(C)C)CC1)OCC2=O.O=Cc1n[nH]c2ccccc12.CO.C1CCNCC1,COc1ccc2c(c1CCCCC1CCN(C(=O)OC(C)(C)C)CC1)O/C(=C\c1n[nH]c3ccccc13)C2=O
ClI.CNS(=O)(=O)Cc1ccc(N)cc1.CC#N,CNS(=O)(=O)Cc1ccc(N)c(I)c1
C=CCO.CC=C(C)C.O,C=CCOC(C)(C)CC
[Na].CCOC(=O)CC(=O)OCC.ClCCCCCCOC1CCCCO1.CCO.CCOCC,CCOC(=O)C(CCCCCCOC1CCCCO1)C(=O)OCC
O=C([O-])[O-].[K+].O=C1NC(=O)c2ccccc21.O=C(CCl)NCCCn1cc(-c2ccccc2)c2ccccc2c1=O.O.CN(C)C=O,NCC(=O)NCCCn1cc(-c2ccccc2)c2ccccc2c1=O
COc1cccc(C2CCCN(CC3CCc4[nH]c5ccc(OC)cc5c4C3)C2)c1.CO.ClCCl,Oc1ccc2c3c([nH]c2c1)CCC(CN1CCCC(c2ccccc2)C1)C3
[I-].[Na+].CC(=O)OC[C@@H](C)CBr.CC(C)(C)c1nc(C2CCC2)cc(N2CCNCC2)n1.CN(C)C=O.CCN(CC)CC,CC(=O)OC[C@@H](C)CN1CCN(c2cc(C3CCC3)nc(C(C)(C)C)n2)CC1
COc1ccc(F)cc1[C@H]1CCCN1c1ccn2ncc(C(=O)O)c2n1.CC(C)(O)CN,COc1ccc(F)cc1[C@H]1CCCN1c1ccn2ncc(C(=O)NCC(C)(C)O)c2n1
