src,tgt
C(NC(C)=O)C1CC1c1c(C2CC2)ccc2nn(C)cc12,C(NC(C)=O)C1CC1c1c(Br)ccc2nn(C)cc12.C1(B(O)O)CC1
C1C=C(C(C)C)c2cc(-c3c(F)c(C=O)cc(F)c3OC)c(C)cc2C1(C)C,C1C=C(C(C)C)c2cc(-c3c(F)c(C4OCCO4)cc(F)c3OC)c(C)cc2C1(C)C
C(C)(C)(C)c1nc2cc(S(=O)(=O)N3CCOCC3)ccc2n1CC1CCOCC1,C(C)(C)(C)c1nc2cc(S(=O)(=O)Cl)ccc2n1CC1CCOCC1.N1CCOCC1
c1cc(Oc2ccnc(NC(=O)C3CC3)c2)cnc1N,c1cc(Oc2ccnc(NC(=O)C3CC3)c2)cnc1[N+](=O)[O-]
COc1ccccc1CSCCCOc1ccc(N2CCNC[C@@H]2COc2ccc3ccccc3c2)cc1,COc1ccccc1CSCCCOc1ccc(N2CCN(C(=O)OC(C)(C)C)C[C@@H]2COc2ccc3ccccc3c2)cc1
c1(-c2noc(C)n2)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(CC)c2)cc(C(=O)N(CCC)CCC)c1,c1(-c2noc(C)n2)cc(C(=O)O)cc(C(=O)N(CCC)CCC)c1.N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNCc1cccc(CC)c1
C(CCN1c2ccccc2N(c2cccc(F)c2C)S1(=O)=O)NC,C(Br)CCN1c2ccccc2N(c2cccc(F)c2C)S1(=O)=O.NC
c1(C(=O)O)cc(C#N)cc(C(F)(F)F)c1,c1(C(=O)O)cc(Br)cc(C(F)(F)F)c1.[C-]#N
c1cccc(C(c2ccccc2)(c2ccccc2)n2nc(/C=C/c3cccnc3)c3c(OC)c(C#N)ccc32)c1,c1cccc(C(c2ccccc2)(c2ccccc2)n2nc(C=C)c3c(OC)c(C#N)ccc32)c1.c1(Br)cccnc1
Cc1cc(C(=O)Nc2cccc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)c2)n(C)n1,Cc1cc(C(=O)Cl)n(C)n1.Nc1cccc(Oc2ccc3nc(NC(=O)C4CC4)cn3n2)c1
C(=O)(Nc1ccc(Br)cc1O)c1ccc(C(F)F)cc1,C(=O)(Cl)c1ccc(C(F)F)cc1.Nc1ccc(Br)cc1O
CCOC(=O)CC(=O)c1cc(F)c(N2CCNCC2)nc1Nc1ccc(F)cc1F,CCOC(=O)CC(=O)c1cc(F)c(Cl)nc1Nc1ccc(F)cc1F.N1CCNCC1
c1ccc(-c2cc(-c3ccc(C(F)(F)F)nc3)cc(C)n2)nc1-c1cccc(S(=O)(=O)NC(C)(C)C)c1,c1ccc([Sn](CCCC)(CCCC)CCCC)nc1-c1cccc(S(=O)(=O)NC(C)(C)C)c1.c1(OS(=O)(=O)C(F)(F)F)cc(-c2ccc(C(F)(F)F)nc2)cc(C)n1
N(C)C(=O)c1ccccc1Sc1ccc2c(I)n[nH]c2c1,N(C)C(=O)c1ccccc1S.c1(I)ccc2c(I)n[nH]c2c1
c1(Br)cc(C(=O)NCC=C)c(=O)[nH]c1C(F)(F)F,c1(Br)cc(C(=O)OC)c(=O)[nH]c1C(F)(F)F.NCC=C
COc1cccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)c1C#N,COc1cccc(N)c1C#N.c1(Cl)ccnc2[nH]c(=O)c3ccccc3c12
C(NC(=O)C(OC)c1ccc(C(F)(F)F)cc1C(F)(F)F)c1ccc(C#N)cc1,C(N)c1ccc(C#N)cc1.C(=O)(O)C(OC)c1ccc(C(F)(F)F)cc1C(F)(F)F
CC(C)n1ncc2c(=O)[nH]c([C@@H]3CN(Cc4ccc(OC)nc4)C[C@H]3C)nc21,CC(C)n1ncc2c(=O)[nH]c([C@@H]3CNC[C@H]3C)nc21.C(=O)c1ccc(OC)nc1
Fc1cc(C(C)(C)C)c(OCOC)cc1C,Fc1cc(C(C)(C)C)c(O)cc1C.C(Cl)OC
COc1c(C(C)n2nc(C)c3c(N)ncnc32)cc(Cl)c(C)c1C1CNC1,COc1c(C(C)n2nc(C)c3c(N)ncnc32)cc(Cl)c(C)c1C1CN(C(=O)OC(C)(C)C)C1
c1cc(C2=C(CCCCCCN(C)CCCS(=O)CCCC(F)(F)C(F)(F)F)c3ccc(O)c(F)c3CCC2)ccc1F,c1cc(C2=C(CCCCCCBr)c3ccc(O)c(F)c3CCC2)ccc1F.N(C)CCCS(=O)CCCC(F)(F)C(F)(F)F
C1CC(N2N=C(c3ccc(OC)c(OC)c3)C(C)(C)C2=O)CCN1C(=O)c1ccc2ccccc2n1,C1CC(N2N=C(c3ccc(OC)c(OC)c3)C(C)(C)C2=O)CCN1.C(=O)(O)c1ccc2ccccc2n1
CC(C)(C)OC(=O)C(C)(C)CCl,CC(C)(C)[O-].C(=O)(Cl)C(C)(C)CCl
c1sc(N)nc1CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,c1sc(N)nc1CCl.N1CCC(OC(c2ccccc2)c2ccccc2)CC1
CCCCc1noc(C)c1CCc1nc(C)c(C(=O)NC2CCOC2)s1,CCCCc1noc(C)c1CCc1nc(C)c(C(=O)O)s1.NC1CCOC1
O=C(CN(CC(=O)OC)C(=O)c1cc(OCCCCCCCCCCCCCCCCCC)cc([N+](=O)[O-])c1)OC,O=C(CNCC(=O)OC)OC.C(=O)(O)c1cc(OCCCCCCCCCCCCCCCCCC)cc([N+](=O)[O-])c1
c12cc(OC)ccc1nc(N[C@H]1C[C@H]3C[C@H](N(Cc4ccccc4)C(=O)OCc4ccccc4)[C@@H]1C3)cc2C,c12cc(OC)ccc1nc(Cl)cc2C.N[C@H]1C[C@H]2C[C@H](N(Cc3ccccc3)C(=O)OCc3ccccc3)[C@@H]1C2
N12CCC(CC1)C(Oc1ccc([N+](=O)[O-])cc1)C2,N12CCC(CC1)C(O)C2.c1(I)ccc([N+](=O)[O-])cc1
C1COCCN1c1cnc(-n2ccc(-c3ccc4c(CC)nn(C(C)C)c4n3)n2)nc1,C1COCCN1.c1(Br)cnc(-n2ccc(-c3ccc4c(CC)nn(C(C)C)c4n3)n2)nc1
COC(=O)[C@H](C)Oc1cc(Sc2c(C(=O)N3CCCC3)c(C)nn2C)c(Cl)cc1Cl,COC(=O)[C@H](C)Oc1cc(Sc2c(C(=O)O)c(C)nn2C)c(Cl)cc1Cl.N1CCCC1
O(c1nc(C(=O)NC(C)c2cc(F)c(NS(C)(=O)=O)c(F)c2)co1)c1cccc2c1OC(C)(C)C2,Oc1cccc2c1OC(C)(C)C2.c1(Cl)nc(C(=O)NC(C)c2cc(F)c(NS(C)(=O)=O)c(F)c2)co1
Oc1ccc(C(C)(CCC(c2ccccc2)c2ccccc2)c2ccc(O)cc2)cc1,Oc1ccc(C(C)(CCC(O)(c2ccccc2)c2ccccc2)c2ccc(O)cc2)cc1
c12ncc(-c3cccs3)nc1cc(-c1cccs1)c(O)c2C(=O)NCC(=O)O,c12ncc(-c3cccs3)nc1cc(-c1cccs1)c(O)c2C(=O)NCC(=O)OCC
c1(F)ccc(-n2nccc(C(=O)Nc3ccc(Oc4ccnc5[nH]nc(N6CCN(C)CC6)c45)c(F)c3)c2=O)cc1,c1(F)ccc(-n2nccc(C(=O)Nc3ccc(Oc4ccnc5c4c(N4CCN(C)CC4)nn5Cc4ccc(OC)cc4)c(F)c3)c2=O)cc1
c12ccccc1n(-c1cc(OCc3ccccc3C(F)(F)F)c(C(=O)OC)s1)cn2,c12ccccc1n(-c1cc(O)c(C(=O)OC)s1)cn2.C(Br)c1ccccc1C(F)(F)F
NC(=O)c1ccc(Oc2ccc3c(c2)CCCC3NCc2ccccc2)cc1,NC(=O)c1ccc(Oc2ccc3c(c2)CCCC3=O)cc1.NCc1ccccc1
C(=O)(OC)[C@H](Cc1ccc(Br)cn1)NC(=O)OC(C)(C)C,C(=O)(OC)[C@H](CI)NC(=O)OC(C)(C)C.c1(Br)ccc(Br)cn1
c1(C2CC2)nc2c(C#N)c(C)c(C3=CC(O)CC3)c(F)c2o1,c1(C2CC2)nc2c(C#N)c(C)c(C3=CC(O[Si](C)(C)C(C)(C)C)CC3)c(F)c2o1
c12ncnc(N3CCC(NC(=O)OC(C)(C)C)(C(=O)OCC)CC3)c1cc[nH]2,c12ncnc(Cl)c1cc[nH]2.N1CCC(NC(=O)OC(C)(C)C)(C(=O)OCC)CC1
N(Cc1c(CC)nc2c(cnn2CC)c1NC1CCOCC1)C(=O)c1cccc(C(=O)O)c1,N(Cc1c(CC)nc2c(cnn2CC)c1NC1CCOCC1)C(=O)c1cccc(C(=O)OC)c1
O(C)C(=O)c1cccn1[Si](C(C)C)(C(C)C)C(C)C,O(C)C(=O)c1cc(I)cn1[Si](C(C)C)(C(C)C)C(C)C
c1cc(C2(CC#N)CC2)ccc1Br,c1cc(C2(CBr)CC2)ccc1Br.[C-]#N
OC(=O)c1ccc2c(c1)CC(C)(C)C(c1cccc(N3C(=O)OCC3(C)C)c1)N2,OC(=O)c1ccc2c(c1)CC(C)(C)C(c1cccc(Br)c1)N2.N1C(=O)OCC1(C)C
c1csc(CN2CCC(CCc3noc4c(CN(C)C)c(-c5ccccc5)ccc34)CC2)c1,c1csc(C=O)c1.N1CCC(CCc2noc3c(CN(C)C)c(-c4ccccc4)ccc23)CC1
[N+](=O)([O-])c1ccc(N2CCNC[C@H]2C)c(Cl)c1,[N+](=O)([O-])c1ccc(N2CCN(C(=O)OC(C)(C)C)C[C@H]2C)c(Cl)c1
C(N)c1nccc(-c2sc(N3CCOCC3)nc2-c2cccc(NS(=O)(=O)c3cc(F)ccc3F)c2F)n1,C(#N)c1nccc(-c2sc(N3CCOCC3)nc2-c2cccc(NS(=O)(=O)c3cc(F)ccc3F)c2F)n1
c1cccc(Oc2cc(-c3cccc(C)c3)ccc2CN2CCN(C(=O)OC(C)(C)C)CC2)c1,c1cccc(Oc2cc(Br)ccc2CN2CCN(C(=O)OC(C)(C)C)CC2)c1.c1(B(O)O)cccc(C)c1
O=C(O)c1cc2cc(Cl)cc(Cl)c2nc1N[C@@H](Cc1ccc(O)cc1)C(=O)O,O=C(O)c1cc2cc(Cl)cc(Cl)c2nc1Cl.N[C@@H](Cc1ccc(O)cc1)C(=O)O
CS(=O)(=O)Nc1cnc([C@@H](C)NC(=O)c2ccc3cc(C(F)(F)F)ccc3c2)cc1C,CS(=O)(=O)Nc1cnc([C@@H](C)N)cc1C.C(=O)(O)c1ccc2cc(C(F)(F)F)ccc2c1
O=C(NCCCCCC)c1ccnc(N2CCN(C(=O)c3cc(F)ccc3C(F)(F)F)CC2)c1,O=C(OC)c1ccnc(N2CCN(C(=O)c3cc(F)ccc3C(F)(F)F)CC2)c1.NCCCCCC
C1C2CC3CC1C(N(Nc1ccccc1[N+](=O)[O-])C(=O)C(C)(C)Br)C(C3)C2,C1C2CC3CC1C(NNc1ccccc1[N+](=O)[O-])C(C3)C2.C(=O)(Br)C(C)(C)Br
C1CN(NC(=O)OC(C)(C)C)CC=C1c1ccc(Cl)cn1,C1CN(NC(=O)OC(C)(C)C)CC=C1B1OC(C)(C)C(C)(C)O1.c1(Br)ccc(Cl)cn1
c1(C(=O)OCCC(C)C)ccccc1Oc1ccnc2cc(OC)c(OC)cc12,c1(C(=O)OCCC(C)C)ccccc1O.c1(Cl)ccnc2cc(OC)c(OC)cc12
c1(N(C(F)(F)F)C(F)(F)F)cccc(N)c1,c1(N(C(F)(F)F)C(F)(F)F)ccc(Cl)c(N)c1
C(C(=O)NCC(OC)OC)c1ccc(OC)c(OC)c1,C(C(=O)O)c1ccc(OC)c(OC)c1.NCC(OC)OC
c1cc2c(cc1Nc1cnccc1-c1ccccc1)CN(CCCC)C2=O,c1cc2c(cc1N)CN(CCCC)C2=O.c1(Br)cnccc1-c1ccccc1
[C@@H]1(Cc2ccc(F)cc2)C[C@@H](OC(=O)[C@H]2[C@@H](C=C(Cl)Cl)C2(C)C)c2ccccc21,[C@@H]1(Cc2ccc(F)cc2)C[C@@H](O)c2ccccc21.C(=O)(Cl)[C@H]1[C@@H](C=C(Cl)Cl)C1(C)C
N1(C2CCC2)CCc2ccc(Oc3ccc(N4CCCC4=O)cn3)cc2CC1,N1(C2CCC2)CCc2ccc(Oc3ccc(I)cn3)cc2CC1.N1CCCC1=O
N1(c2ncccc2[N+](=O)[O-])CCC(=CC#Cc2cccc(C)n2)CC1,N1(c2ncccc2[N+](=O)[O-])CCC(=CC#C)CC1.c1(Br)cccc(C)n1
C(C=O)CCNC(=O)N1CCN(c2ccccc2)CC1,C(CCNC(=O)N1CCN(c2ccccc2)CC1)C(OCC)OCC
CCc1nc2c(cnn2CC)c(NC2CCOCC2)c1CNC(=O)c1cccc(C(=O)NCc2cc(Cl)cc(-c3cccc(C=O)c3)c2)c1,CCc1nc2c(cnn2CC)c(NC2CCOCC2)c1CNC(=O)c1cccc(C(=O)NCc2cc(Cl)cc(Br)c2)c1.c1(B(O)O)cccc(C=O)c1
