src,tgt
COc1ccc2cc(CNc3cccc(-c4c(Cc5ccccc5)cnc5c(C(F)(F)F)cccc45)c3)ccc2c1,Nc1cccc(-c2c(Cc3ccccc3)cnc3c(C(F)(F)F)cccc23)c1.COc1ccc2cc(C=O)ccc2c1
CC(C)CNc1cc(NC(=O)OC(C)(C)C)c(NC(=O)CC(=O)c2cccc(-c3cncnc3)c2)cc1Cl,CC(C)(C)OC(=O)CC(=O)c1cccc(-c2cncnc2)c1.CC(C)CNc1cc(NC(=O)OC(C)(C)C)c(N)cc1Cl
Cc1cc(-c2cccc(Cl)c2)nnc1Cl,O=P(Cl)(Cl)Cl.Cc1cc(-c2cccc(Cl)c2)n[nH]c1=O
COC(=O)c1cc(C#N)cc(OC(F)(F)F)c1,COC(=O)c1cc(C#N)cc(OC(C)C)c1.COC(=O)c1cc(Br)cc(OC(F)(F)F)c1
O=C(c1ccc(-c2ccsc2)nc1)N1CCCC1CN1CCCC1,O=C(O)c1ccc(-c2ccsc2)nc1.C1CNC(CN2CCCC2)C1
COc1ccc(C#CCSc2ccc(OCC(=O)OC(C)(C)C)c(C)c2)cc1,COc1ccc(I)cc1.C#CCSc1ccc(OCC(=O)OC(C)(C)C)c(C)c1
CCNC(=O)c1ccc(C#CC(O)c2ccc3c(c2)C(C)(C)CCC3(C)C)cc1,C#CC(O)c1ccc2c(c1)C(C)(C)CCC2(C)C.CCNC(=O)c1ccc(I)cc1
Cc1noc(-c2sc(NC(=O)C3CCCCC3)nc2-c2ccccc2)n1,Cc1noc(-c2sc(N)nc2-c2ccccc2)n1.O=C(Cl)C1CCCCC1
CCOC(=O)C(C#N)=Cc1cc(OC)c(N)c(OC)c1,CCOC(=O)CC#N.COc1cc(C=O)cc(OC)c1N
CCOC(=O)Cc1cccc2cnccc12,CCOC(=O)C(OC(C)=O)c1cccc2cnccc12.CCO
CCN(CCO)CCCCc1ccc2c(-c3ccc(Cl)cc3)nsc2c1,CS(=O)(=O)OCCCCc1ccc2c(-c3ccc(Cl)cc3)nsc2c1.CCNCCO
CC(C)(C)OC(=O)NCCOc1ccccc1OCCBr,BrCCBr.CC(C)(C)OC(=O)NCCOc1ccccc1O
O=C(Cl)Cc1ccc(Cl)c(Cl)c1,O=S(Cl)Cl.O=C(O)Cc1ccc(Cl)c(Cl)c1
CCc1cc(-c2ccc(C(=O)N(C)C)s2)c(C)[nH]c1=O,CCc1cc(-c2ccc(C(=O)O)s2)c(C)[nH]c1=O.CNC
Cc1ccccc1CNC(=O)n1sc2ccccc2c1=O,Cc1ccccc1CN=C=O.O=c1[nH]sc2ccccc12
Cc1ccc(C2COc3c(C)c(C)c(N)c(C)c32)cc1,CCCCCC.Cc1ccc(C2COc3c(C)c(C)c(NCc4ccccc4)c(C)c32)cc1
O=[N+]([O-])c1ccc(-n2c(-c3ccc4c(ccn4Cc4ccccc4)c3)cnc2-c2ccccc2)cc1,Brc1ccc2c(ccn2Cc2ccccc2)c1.O=[N+]([O-])c1ccc(-n2ccnc2-c2ccccc2)cc1
O=C1Cc2cccc(F)c2N1,O=C(O)Cc1cccc(F)c1[N+](=O)[O-].CC(=O)O
COc1ccc(NC(=O)c2ccc(Cl)nc2)c(C)c1,O=C(Cl)c1ccc(Cl)nc1.COc1ccc(N)c(C)c1
CC1(C)OC(=O)Nc2ccc(-c3ccc(S(N)(=O)=O)s3)cc21,NS(=O)(=O)c1ccc(Br)s1.CC1(C)OC(=O)Nc2ccc(B(O)O)cc21
CCOC(=O)c1cnc2cc(OCCOC)c(N3CCOCC3)cc2c1Nc1ccc(C)cc1F,CCOC(=O)c1cnc2cc(OCCOC)c(Br)cc2c1Nc1ccc(C)cc1F.C1COCCN1
CC(C)(C)c1c(NC(=O)CC2CCC3CC2C3(C)C)nn2cccnc12,CC(C)(C)c1c(N)nn2cccnc12.CC1(C)C2CCC(CC(=O)O)C1C2
