src,tgt
CC(C)(C)C(=O)OCCSCC(=O)NCC=CCOc1cc(CN2CCCCC2)ccn1,CC(C)(C)C(=O)Cl.O=C(CSCCO)NCC=CCOc1cc(CN2CCCCC2)ccn1
COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3C)CC2)c(C)cc1Cl,COc1cc(N2CCNCC2)c(C)cc1Cl.Cc1c(Cl)c(C(F)(F)F)nn1CC(=O)O
O=C(NC1CCCC1N1CCCC1)c1ccc(C(F)(F)F)cc1C1CCC1,NC1CCCC1N1CCCC1.O=C(O)c1ccc(C(F)(F)F)cc1C1CCC1
FC(F)Oc1ccc(CCl)cc1OCC1CC1,O=S(Cl)Cl.OCc1ccc(OC(F)F)c(OCC2CC2)c1
CC(C)(C)c1ccc(-n2c(N3CCNCC3)c(C=O)c3ccccc32)cc1,C1CNCCN1.CC(C)(C)c1ccc(-n2c(Cl)c(C=O)c3ccccc32)cc1
Nc1cc(CN2CCOCC2)cc([N+](=O)[O-])c1,C1COCCN1.Nc1cc(CBr)cc([N+](=O)[O-])c1
Cn1ncc(C(=O)N2CCOCC2)c1C(=O)Nc1ccn2nc(-c3cccnc3)nc2c1,C1COCCN1.Cn1ncc(C(=O)O)c1C(=O)Nc1ccn2nc(-c3cccnc3)nc2c1
Cc1nnnn1C(=NOCc1csc(C#CC2CC2)n1)c1ccccc1,C#CC1CC1.Cc1nnnn1C(=NOCc1csc(Br)n1)c1ccccc1
CC(C)CNc1nc(-c2ccc(F)cc2Cl)c(-c2ccc(Cl)cc2)cc1C#N,CC(C)CN.N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(F)cc2Cl)nc1Cl
FC(Cc1cccc(Oc2ccccc2)c1)=C(F)C(CCSc1ccccc1)c1ccc(Cl)cc1,FC(Cc1cccc(Oc2ccccc2)c1)=C(F)C(CCBr)c1ccc(Cl)cc1.[S-]c1ccccc1
COc1cnc(Br)c2[nH]cc(C(=O)C(=O)N3CCc4c(ncnc4-c4ccccn4)C3)c12,COc1cnc(Br)c2[nH]cc(C(=O)C(=O)O)c12.c1ccc(-c2ncnc3c2CCNC3)nc1
CCOc1cc2c(Nc3ccc(Sc4nccn4C)c(Cl)c3)c(C#N)cnc2cc1F,CCOc1cc2c(Cl)c(C#N)cnc2cc1F.Cn1ccnc1Sc1ccc(N)cc1Cl
Cn1c(C(O)C2CCN(C(=O)OC(C)(C)C)CC2)nc2c(N3CCOCC3)nc(Cl)nc21,CC(C)(C)OC(=O)N1CCC(C=O)CC1.Cn1cnc2c(N3CCOCC3)nc(Cl)nc21
CC(C)(C)OC(=O)N1CC(O)C(c2ccc(OCCCOCc3ccccc3)cc2)C(COC(c2ccccc2)(c2ccccc2)c2ccccc2)C1,CC(C)(C)OC(=O)N1CC(O)C(c2ccc(OCCCOCc3ccccc3)cc2)C(CO)C1.ClC(c1ccccc1)(c1ccccc1)c1ccccc1
Cc1ccc2c(N3CCN(C(=O)C(O)CC(F)(F)F)CC3)nc(-c3ccccc3O)nc2c1,Cc1ccc2c(N3CCNCC3)nc(-c3ccccc3O)nc2c1.O=C(O)C(O)CC(F)(F)F
COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4Cl)cc3c12,COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(O)cc3c12.ClCc1ccccc1Cl
CC(C)C(Nc1ccc(C(F)(F)F)cc1F)C(=O)OCc1cccc(Oc2ccccc2)n1,CC(C)C(Nc1ccc(C(F)(F)F)cc1F)C(=O)O.OCc1cccc(Oc2ccccc2)n1
CC(C)(C)c1cn2c(=O)[nH]nc2c(NCCNS(=O)(=O)c2ccccc2)n1,CC(C)(C)c1cn2c(=O)[nH]nc2c(NCCN)n1.O=S(=O)(Cl)c1ccccc1
Nc1cc(NCCc2c[nH]c3ccccc23)c([N+](=O)[O-])cc1[N+](=O)[O-],NCCc1c[nH]c2ccccc12.Nc1cc(F)c([N+](=O)[O-])cc1[N+](=O)[O-]
CC(C)(CCS(C)(=O)=O)NC(=O)c1ccc(C2CC2)c(OCC2CC2)n1,CC(C)(N)CCS(C)(=O)=O.O=C(O)c1ccc(C2CC2)c(OCC2CC2)n1
COc1ccc2c(c1)C1(COCC(N)=N1)c1cc(Br)cc(F)c1O2,COc1ccc2c(c1)C1(COCC(=S)N1)c1cc(Br)cc(F)c1O2.N
O=Cc1cn2c(n1)SCC2,CCOC(=O)c1cn2c(n1)SCC2
O=C1Cc2c(ccc3c2OC(CN2CCN(c4nsc5ccccc45)CC2)CO3)N1,Cc1ccc(S(=O)(=O)OCC2COc3ccc4c(c3O2)CC(=O)N4)cc1.c1ccc2c(N3CCNCC3)nsc2c1
