src,tgt
c1(CC)oc2cc(C)nn2c1-c1ccc(Cl)cc1Cl.C=O.N(CCC)CCC,c1(CC)oc2c(CN(CCC)CCC)c(C)nn2c1-c1ccc(Cl)cc1Cl
COc1cc2c(cc1OC)/C(=C(/Nc1ccccc1)c1cccc(CN)c1)C(=O)N2.C(C)(=O)OC(C)=O,COc1cc2c(cc1OC)/C(=C(/Nc1ccccc1)c1cccc(CNC(C)=O)c1)C(=O)N2
C(Oc1cnc(Cl)c(CNC(=O)c2cccc([N+](=O)[O-])c2)c1)[C@@H]1CCN1C(=O)OC(C)(C)C,C(Oc1cnc(Cl)c(CNC(=O)c2cccc([N+](=O)[O-])c2)c1)[C@@H]1CCN1
O(CC1CCN(C(=O)OC(C)(C)C)CC1)c1ccc(Cl)nn1.c1(B(O)O)ccc(S(C)(=O)=O)cc1,O(CC1CCN(C(=O)OC(C)(C)C)CC1)c1ccc(-c2ccc(S(C)(=O)=O)cc2)nn1
c1cc(C(=O)N2CCN(c3cc(F)c(OC)cc3F)CC2)ccc1C(C)(C)C,c1cc(C(=O)N2CCN(c3cc(F)c(O)cc3F)CC2)ccc1C(C)(C)C
S=C1NCC(=O)N1.C(=O)c1ccc(O)c(Br)c1,S=C1NC(=O)C(=Cc2ccc(O)c(Br)c2)N1
CCOC(=O)C(=CN[C@@H](C(C)C)C(C)(C)O[SiH2]C(C)(C)C)C(=O)c1cc(Cc2cccc(Cl)c2F)nc(Cl)c1Cl,CCOC(=O)c1cn([C@@H](C(C)C)C(C)(C)O[SiH2]C(C)(C)C)c2c(Cl)nc(Cc3cccc(Cl)c3F)cc2c1=O
CC(C)(C)c1c(N)nn2cccnc12.C(=O)(Cl)Cc1ccc(F)cc1,CC(C)(C)c1c(NC(=O)Cc2ccc(F)cc2)nn2cccnc12
c1cc(N2CCN(c3nc(-c4ccccc4)c(C(N)=O)s3)CC2)ccc1OC,c1cc(N2CCN(c3nc(-c4ccccc4)c(C#N)s3)CC2)ccc1OC
c1cc(C)ccc1C#C.c1(Br)cnc2cc(C)nn2c1,c1cc(C)ccc1C#Cc1cnc2cc(C)nn2c1
CCOC(=O)c1cc2nc(C)c([C@H](OC(C)(C)C)C(=O)OCC)c(Cl)n2n1.N1CCC(C)(OCCCC[C@@H](C)OCc2ccccc2)CC1,CCOC(=O)c1cc2nc(C)c([C@H](OC(C)(C)C)C(=O)OCC)c(N3CCC(C)(OCCCC[C@@H](C)OCc4ccccc4)CC3)n2n1
OC(C)CNc1c(Br)cnc2ccccc12,O1c2cnc3ccccc3c2NCC1C
c1(Cl)cc(Cl)c([N+](=O)[O-])cc1-c1cc(OC(F)F)n(C)n1,c1(Cl)cc(Cl)c(N)cc1-c1cc(OC(F)F)n(C)n1
c1ccc(B(O)O)cc1C(F)(F)F.c1(Cl)ccc2c(n1)NCCC2(C)C,c1ccc(-c2ccc3c(n2)NCCC3(C)C)cc1C(F)(F)F
O=C(Nc1cccnn1)OCC(Cl)(Cl)Cl.N1CCN(c2nccc(-c3ccc(F)cc3F)n2)CC1,O=C(Nc1cccnn1)N1CCN(c2nccc(-c3ccc(F)cc3F)n2)CC1
C(=O)(c1cccc(N2CCCNCC2)n1)c1cc(Br)cnc1N.C(=O)(O)CC(F)(F)F,C(=O)(c1cccc(N2CCCN(C(=O)CC(F)(F)F)CC2)n1)c1cc(Br)cnc1N
NC(COC)C(=O)OC.C(=O)(O)[C@H](C)NC(=O)Cc1cc(F)cc(F)c1,N(C(=O)[C@H](C)NC(=O)Cc1cc(F)cc(F)c1)C(COC)C(=O)OC
