src,tgt
[K+].[O-]C(C)=S.C(Br)CC=C(F)F.[Br-].C(C)CC[N+](CCCC)(CCCC)CCCC,C(CC=C(F)F)OC(C)=S
[Cu+2].n1ccccc1.C(C)N(CC)CC.OB(O)c1ccccc1.CCOC(C)=O.O=C(C)[O-].C(Cl)Cl.O=C(C)[O-].c1ccc(C#N)c(-c2ccc(Cc3c(CCC)nc(C)[nH]c3=O)cc2)c1,c1ccc(C#N)c(-c2ccc(Cc3c(CCC)nc(C)n(-c4ccccc4)c3=O)cc2)c1
[H-].[H-].[H-].[Na+].O.[H-].[Al+3].[Li+].OC(=O)C(N)Cc1ccccc1.[H][H].[OH-],OCC(N)Cc1ccccc1
N(C)=C=S.O1CCCC1.[K+].c1cccc2ncc(C3CCCCC3=O)cc12.CC(C)(C)[O-],c1cccc2ncc(C3(C(=S)NC)CCCCC3=O)cc12
O=c1ccccn1C(=S)n1ccccc1=O.ClCCl.COC(=O)c1ccc(N)cc1[N+](=O)[O-],C(=S)=Nc1ccc(C(=O)OC)c([N+](=O)[O-])c1
OC.C(#N)[Na].c1c(SC#N)ccc(N)c1C(F)(F)F,c1c(SC)ccc(N)c1C(F)(F)F
CC(C)N(CC)C(C)C.C1(O)CNCCC1N=[N+]=[N-].C(O)CBr.N1(CCO)CCC(NC(=O)OCc2ccccc2)C(C(=O)OC)C1,C1(O)CN(CCO)CCC1N=[N+]=[N-]
c1cccc(C)c1.C=COC(C)=O.O=C([O-])CC=C.Clc1cccc(-n2nnc(C(C)O)n2)c1,Clc1cccc(-n2nnc(C(C)OC(C)=O)n2)c1
C1CCCO1.CCN(CC)CC.n1(-c2cc(OC)cc(CO)c2O)nc2ccc(F)cc2n1.CC(=C)C(=O)Cl,n1(-c2cc(OC)cc(COC(=O)C(=C)C)c2O)nc2ccc(F)cc2n1
CO.Cl.O=C([O-])O.[Na+].c1(OC)cc(C)c(NC(C)=O)cc1Br,c1(OC)cc(C)c(N)cc1Br
C#CCN(C)C.c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1.CCN(CC)CC.C1CCOC1.[Cu]I.COC(=O)COc1ccc(OCC=C(c2ccc(I)cc2)c2cccc(C(F)(F)F)c2)cc1C,COC(=O)COc1ccc(OCC=C(c2ccc(C#CCN(C)C)cc2)c2cccc(C(F)(F)F)c2)cc1C
Br.c1c(N2CCOCC2)oc2c(C(C)Br)cc(C(=O)N(C)C)cc2c1=O.COc1c(N)cccc1F,c1c(N2CCOCC2)oc2c(C(C)Nc3cccc(F)c3OC)cc(C(=O)N(C)C)cc2c1=O
O(C)CCO.c1c(Nc2nccc(-c3sc(C)nc3C)n2)cccc1[N+](=O)[O-].CC(=O)O.[Pd],c1c(N)cccc1Nc1nccc(-c2sc(C)nc2C)n1
C(C)(C)N(CC)C(C)C.n1nc2cccnc2n1OC(N(C)C)=[N+](C)C.F[P-](F)(F)(F)(F)F.O=c1c(C(=O)O)cccn1-c1ccc(F)cc1.C1(C(=O)Nc2cn3cc(Oc4ccc(N)cc4)ccc3n2)CC1.N(C)(C)C(C)=O,C1(C(=O)Nc2cn3cc(Oc4ccc(NC(=O)c5cccn(-c6ccc(F)cc6)c5=O)cc4)ccc3n2)CC1
[K+].O=C([O-])[O-].N#CC1CC(F)CN1C(=O)CCl.ClCCl.CN(C)C=O.[K+].CN(C)C(=O)N1CC2CC(C)(N)CC2C1,CN(C)C(=O)N1CC2CC(C)(NCC(=O)N3CC(F)CC3C#N)CC2C1
CCN(C(C)C)C(C)C.CC(C)(CCC#N)CNCC(O)C(Cc1ccccc1)NC(=O)OC(C)(C)C.ClCCl.O=C(Cl)OCc1ccccc1,CC(C)(CCC#N)CN(CC(O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1
Cc1ccc(NC(=O)c2ccoc2)cc1-c1ccc(C(=O)O)cc1.CCOC(C)=O.On1nnc2ccccc21.NCCCn1ccnc1.CCN(C(C)C)C(C)C.CN(C)C(On1nnc2cccnc21)=[N+](C)C.CN(C)C=O.F[P-](F)(F)(F)(F)F,Cc1ccc(NC(=O)c2ccoc2)cc1-c1ccc(C(=O)NCCCn2ccnc2)cc1
O(CC)C(=O)N1CCC(c2c[nH]c3ccc(OC)cc23)CC1.c1cc(Cl)sc1CCl,O(CC)C(=O)N1CCC(c2cn(Cc3ccc(Cl)s3)c3ccc(OC)cc23)CC1
O=C(C)OC(C)=O.n1ccccc1.c1cc(OC2c3cc(N)ccc3OC(C)(C)C2O)cc(O)n1,c1cc(OC2c3cc(NC(C)=O)ccc3OC(C)(C)C2O)cc(O)n1
Nc1cccc(-c2nnn[nH]2)c1.N#Cc1ccc(-c2cnc(Cl)o2)cc1.CC(C)O,N#Cc1ccc(-c2cnc(Nc3cccc(-c4nnn[nH]4)c3)o2)cc1
[H][H].Cc1cccc(-c2c(F)cccc2C(OCCN=[N+]=[N-])C2CN(C(=O)OC(C)(C)C)CCO2)c1.CCOC(C)=O,Cc1cccc(-c2c(F)cccc2C(OCCN)C2CN(C(=O)OC(C)(C)C)CCO2)c1
CN(C)C=O.C(Br)CCN(CC)CC.Br.[K+].O.C(Cl)(Cl)Cl.n1[nH]c2ccccc2c1N.[O-]C(=O)[O-].[K+],n1[nH]c2ccccc2c1NCCCN(CC)CC
O1CCCC1.[Li]CCCC.O=C(O)c1ccc2c(c1)C(c1ccccn1)CC(C)(C)O2.CCCCCC.CC(C)NC(C)C.Oc1ccc(C#N)cc1C(C=C(C)C)c1ccnc[n+]1[O-].c1nccc(C)n1.CC(C)(Oc1ccc(C#N)cc1)C(=O)OCC,CC(C)(Oc1ccc(C#N)cc1)C(O)=Cc1ccncn1
