src,tgt
C1CC2CNCC1O2.CS(C)=O.Cc1cc(F)ccc1-c1cc(Cl)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.Cl.O.O=C([O-])[O-].[K+],Cc1cc(F)ccc1-c1cc(N2C[C@@H]3CC[C@H](C2)O3)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
COC(=O)CP(=O)(OC)OC.Cc1ccc([N+](=O)[O-])cc1C=O,COC(=O)/C=C/c1cc([N+](=O)[O-])ccc1C
C[Si](C)(C)Cl.ClC(Cl)Cl.O=Cc1ccco1.SCCCS.c1coc(CC2SCCCS2)c1,c1coc(CC2CCCSS2)c1
C1COCCO1.Cl.Cn1cc(/C=C/C(=O)Nc2ccc(F)cc2NC(=O)OC(C)(C)C)cn1,Cn1cc(/C=C/C(=O)Nc2ccc(F)cc2N)cn1
C1CCOC1.CC(C)[N-]C(C)C.CCOP(=O)(C#N)OCC.O=C1CCc2ccccc21.[Li+],N#CC1=CCc2ccccc21
C1CCOC1.CC(C)C(=O)Cl.CCN(CC)CC.Cl.NC1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21.O=C([O-])O.[Na+],CC(C)C(=O)NC1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21
C1CCOC1.CC(=O)Cl.CCO.OC(Cc1ccccc1Cl)(Cn1ncnc1S)C1(Cl)CC1.[H-].[Na+],CC(=O)Sc1ncnn1CC(O)(Cc1ccccc1Cl)C1(Cl)CC1
C1CCOC1.O=S(=O)(Cl)c1ccc(F)cc1.[BH4-].[Na+],O=S(O)c1ccc(F)cc1
C1CCOC1.C1COCCO1.CC(C)(C)OC(=O)C(O)N1C(=O)C(NC(c2ccccc2)(c2ccccc2)c2ccccc2)C1SCC#Cc1ccc(F)cc1.O=S(Cl)Cl.c1ccncc1,CC(C)(C)OC(=O)C(Cl)N1C(=O)C(NC(c2ccccc2)(c2ccccc2)c2ccccc2)C1SCC#Cc1ccc(F)cc1
C1COCCO1.CC(C)O.CNC.O=Cc1nc2n(n1)-c1ccc(Cl)cc1C(c1ccccc1)=NC2.[C-]#N.[Mn+4].[Na+].[O-2],CN(C)C(=O)c1nc2n(n1)-c1ccc(Cl)cc1C(c1ccccc1)=NC2
C1COCCN1.ClCCl.O.O=C(c1ccccc1)N1c2cccc3c2C(CCC3Br)C1c1ccccc1,O=C(c1ccccc1)N1c2cccc3c2C(CCC3N2CCOCC2)C1c1ccccc1
CCN(CC)CC.COc1cc2ncnc(Oc3ccc(N)cc3)c2cc1OC.ClC(Cl)Cl.O.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl.c1ccc(N2CCNCC2)cc1,COc1cc2ncnc(Oc3ccc(NC(=O)N4CCN(c5ccccc5)CC4)cc3)c2cc1OC
N.O=[N+]([O-])c1cnc(Cl)nc1NCCO,Nc1ncc([N+](=O)[O-])c(NCCO)n1
CCOC(=O)c1c(F)ccc(N)c1N.COC(=N)C(Cl)(Cl)Cl,CCOC(=O)c1c(F)ccc2[nH]c(C(Cl)(Cl)Cl)nc12
ClCCCl.O=C(Cl)c1ccccc1.[Al+3].[Cl-].c1ccc(OCCCOc2ccccc2)cc1,O=C(c1ccccc1)c1ccc(OCCCOc2ccc(C(=O)c3ccccc3)cc2)cc1
COc1ccc(CN2CC(c3cccc(F)c3F)=CC[C@@H](NC(=O)OCc3ccccc3)C2=O)c(OC)c1.ClCCl.O=C(O)C(F)(F)F,O=C(N[C@@H]1CC=C(c2cccc(F)c2F)CNC1=O)OCc1ccccc1
CN1CCNCC1.COC(=O)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(=O)N1CCN(C)CC1
C1CCOC1.C1COCCN1.COc1ccc(F)c(F)c1C(=O)c1cnc(N[C@H]2CC[C@H](NS(=O)(=O)CCCCl)CC2)nc1N,COc1ccc(F)c(F)c1C(=O)c1cnc(N[C@H]2CC[C@H](NS(=O)(=O)CCCN3CCOCC3)CC2)nc1N
CCN(C(C)C)C(C)C.CCOC(=O)C(N)=NO.COc1cccc(CC(=O)Cl)c1.ClCCl.O,CCOC(=O)c1noc(Cc2cccc(OC)c2)n1
C#CCO.CC[N+](CC)(CC)Cc1ccccc1.CSc1nccc(Cl)n1.O.[Cl-].[Na+].[OH-].c1ccccc1,C#CCOc1ccnc(SC)n1
CC(C)(C)C(=O)Cl.Nc1nc(Cl)c2ccnc-2[nH]1.c1ccncc1,CC(C)(C)C(=O)Nc1nc(Cl)c2ccnc-2[nH]1
CC(C)(C)OC(=O)n1c(-c2ccc(N)c3c2C(=O)NC3)cc2cc(CN3CCCCC3)ccc21.CCN(CC)CC.CCOC(C)=O.O.O=C(Cl)C1CC1,CC(C)(C)OC(=O)n1c(-c2ccc(NC(=O)C3CC3)c3c2C(=O)NC3)cc2cc(CN3CCCCC3)ccc21
CCOC(=O)[C@@H](N)Cc1ccc(O)cc1.CCOC(C)=O.Cl.ClCCl.O.O=C([O-])O.[Na+],CCOC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C
CC(=O)c1ccc2cnccn12.O.[BH4-].[Na+],CC(O)c1ccc2cnccn12
CC[C@@H]1C(=O)N(C)c2cnc(-c3ccnc(F)c3)nc2N1C1CCCC1.CNC.CS(C)=O.Cl.O=C([O-])[O-].[Na+],CC[C@@H]1C(=O)N(C)c2cnc(-c3ccnc(N(C)C)c3)nc2N1C1CCCC1
C=CCOc1c(F)cc(Br)cc1[N+](=O)[O-].CCN(CC)CC.CCO.Cl[Sn](Cl)(Cl)Cl.O,C=CCOc1c(N)cc(Br)cc1F
CCOC(=O)C=C(CC(=O)OCC)Nc1ccc(C(C)(C)C)cc1.O=C1C=CC(=O)C(Cl)=C1,CCOC(=O)Cc1c(C(=O)OCC)c2cc(O)c(Cl)cc2n1-c1ccc(C(C)(C)C)cc1
CC(=O)O.CC(=O)[O-].CC(=O)c1ccc2cc(S(N)(=O)=O)sc2c1.O=S(=O)(O)O.[N-]=[N+]=[N-].[Na+],CC(=O)Nc1ccc2cc(S(N)(=O)=O)sc2c1
