seed,stage,arm,sse,sst,cosine,centered_cosine,kl_true_predicted,js,gold_log_probability,gold_probability,gold_rank,gold_margin,top1_agreement,top5_overlap,top10_overlap,n,normalized_mse,r2
533,ridge,A,1979.644140402476,4539.953466415405,0.8155647109573086,0.7415895443409681,1.0102401343174279,0.15872634842526168,-1.1510340245440602,0.681483591751506,3.0701265620688596,2.842869486155299,0.7345181379156808,0.7190455806752046,0.6816436359658837,37.953125,0.4367636623913129,0.5632363376086871
917,ridge,A,1958.9251877466838,4549.716681162517,0.8196356110274792,0.7459469052652518,1.0035692135958623,0.15762357941518226,-1.1553978194327403,0.6806969920483729,3.2611974831670523,2.803735143931893,0.7322528017684817,0.718749257735908,0.6757926298305392,37.953125,0.43045551579307323,0.5695444842069267
paired mean,ridge,A,1969.28466407458,4544.8350737889605,0.8176001609923939,0.74376822480311,1.006904673956645,0.15817496392022198,-1.1532159219884004,0.6810902918999394,3.165662022617956,2.823302315043596,0.7333854698420813,0.7188974192055563,0.6787181328982115,37.953125,0.4336095890921931,0.566390410907807
533,ridge,B,3379.994192759196,4539.953466415405,0.6599049409851432,0.47903911117464304,2.592006150012215,0.36163964580434066,-2.7516566142439842,0.3805779318790883,6.975075488910079,-0.8728820475567621,0.4404741853941232,0.6093977841859063,0.5930211055092514,37.953125,0.7413826840812314,0.2586173159187685
917,ridge,B,3385.1603161493936,4549.716681162517,0.663704098512729,0.48049175801376504,2.613213123753667,0.361426457685108,-2.7801878042519093,0.37719896202906966,8.015259830281138,-0.9137127172119411,0.44051784145024914,0.6104123489931226,0.5670823333784938,37.953125,0.740453301089845,0.2595466989101551
paired mean,ridge,B,3382.5772544542947,4544.8350737889605,0.6618045197489361,0.479765434594204,2.602609636882941,0.36153305174472433,-2.7659222092479467,0.378888446954079,7.495167659595609,-0.8932973823843516,0.4404960134221862,0.6099050665895144,0.5800517194438726,37.953125,0.7409179925855381,0.2590820074144618
533,ridge,C,1797.3387959798176,4539.953466415405,0.8372869320834676,0.7747100445752343,0.90215757341745,0.143032169881432,-1.0506032058037817,0.701550588166962,2.6806934711833796,3.039889910413573,0.7549340521606306,0.7434687667215863,0.7034075564394394,37.953125,0.3915418573356555,0.6084581426643445
917,ridge,C,1783.2468910217285,4549.716681162517,0.8400607804457346,0.7774312592421969,0.905800161184743,0.14252091775415465,-1.0640383973562468,0.6990080382674932,2.749578593298793,2.9968588997920356,0.7557046810009828,0.7419618852436543,0.693747926192979,37.953125,0.38723267072742235,0.6127673292725775
paired mean,ridge,C,1790.2928435007732,4544.8350737889605,0.8386738562646011,0.7760706519087156,0.9039788673010966,0.14277654381779334,-1.0573208015800144,0.7002793132172277,2.715136032241086,3.0183744051028043,0.7553193665808067,0.7427153259826204,0.6985777413162092,37.953125,0.38938726403153895,0.610612735968461
533,ridge,D,2029.2656604448955,4539.953466415405,0.8207152932882309,0.7517450399075946,0.8501770103272671,0.13266634470589148,-0.996811487323915,0.7204574140099188,2.453074714168906,3.3339114517633184,0.7663721943584582,0.7371161757037044,0.6917477290456494,37.953125,0.44449471897789666,0.5555052810221034
917,ridge,D,2000.7054425875347,4549.716681162517,0.8251296567420164,0.7563980724662542,0.8510845222238762,0.13218036694646193,-1.0038490970619023,0.7202065020489196,2.5480014737695456,3.3011876963234195,0.7662397561750064,0.7354172272607684,0.6788103797783455,37.953125,0.4370709628533473,0.5629290371466528
paired mean,ridge,D,2014.985551516215,4544.8350737889605,0.8229224750151237,0.7540715561869243,0.8506307662755717,0.1324233558261767,-1.0003302921929087,0.7203319580294192,2.500538093969226,3.317549574043369,0.7663059752667323,0.7362667014822364,0.6852790544119974,37.953125,0.440782840915622,0.5592171590843781
533,ridge,C_shuffle,2092.1724969546,4539.953466415405,0.8042853254203995,0.7266704433908066,1.087128340266645,0.16801693754193062,-1.2302114678702007,0.6673047714866698,3.2402159652362266,2.6845663957841075,0.7172002255295714,0.7086979389811555,0.673224103016158,37.953125,0.46084214515255395,0.539157854847446
917,ridge,C_shuffle,2100.236808935801,4549.716681162517,0.8065096403782567,0.7280601812526584,1.0749511234462261,0.166858523657235,-1.228287273319438,0.6659978935495019,3.304797442009052,2.6668703259977824,0.7198952458178004,0.7076222902784745,0.6636240196724733,37.953125,0.4608947478169724,0.5391052521830276
paired mean,ridge,C_shuffle,2096.2046529452005,4544.8350737889605,0.8053974828993281,0.7273653123217324,1.0810397318564355,0.1674377305995828,-1.2292493705948193,0.6666513325180858,3.272506703622639,2.675718360890945,0.7185477356736859,0.708160114629815,0.6684240613443156,37.953125,0.46086844648476316,0.5391315535152369
533,mlp,A,1641.5993335776864,4539.953466415405,0.8500792573516568,0.791849754233327,0.838546608419468,0.1250251701567322,-0.9811968990187679,0.7411683840780622,2.6262952821950116,3.938764443000158,0.7815042338334024,0.7414975153903166,0.7091741037244598,37.953125,0.3622820622257564,0.6377179377742436
917,mlp,A,1628.2504538695018,4549.716681162517,0.8532420726906923,0.7945056452105442,0.8264205566115884,0.12375471201570083,-0.9750833480049752,0.7407390102226702,2.7161016253133616,3.887530685919854,0.7853818859956746,0.7420035931799148,0.7015054673991269,37.953125,0.3575554489011865,0.6424445510988135
paired mean,mlp,A,1634.924893723594,4544.8350737889605,0.8516606650211745,0.7931776997219356,0.8324835825155281,0.12438994108621652,-0.9781401235118716,0.7409536971503661,2.6711984537541866,3.913147564460006,0.7834430599145384,0.7417505542851157,0.7053397855617933,37.953125,0.35991875556347147,0.6400812444365286
533,mlp,C,1327.7977226310306,4539.953466415405,0.8826335465742483,0.8382288639744123,0.6183835053816438,0.09697546174478096,-0.7601831834504589,0.780101471580565,2.0061408256491027,4.403249626811077,0.8234202136906484,0.7803237725877099,0.7430491266358229,37.953125,0.2880462472937742,0.7119537527062257
917,mlp,C,1305.8576918972865,4549.716681162517,0.8858793743161691,0.8419914657457007,0.6125860314350575,0.09598542991120161,-0.7636824073528663,0.7798473251362642,2.041652323264215,4.442482697027218,0.8243787545814282,0.7797368475132519,0.7351889724118843,37.953125,0.2821418452198449,0.7178581547801551
paired mean,mlp,C,1316.8277072641586,4544.8350737889605,0.8842564604452088,0.8401101648600564,0.6154847684083506,0.09648044582799127,-0.7619327954016626,0.7799743983584145,2.023896574456659,4.422866161919147,0.8238994841360383,0.780030310050481,0.7391190495238537,37.953125,0.2850940462568096,0.7149059537431904
533,mlp,D,1633.1165177292296,4539.953466415405,0.8567176605057386,0.8024506043228837,0.6453184487375742,0.10317167689532249,-0.7900373236819481,0.7687580100674595,2.038660221836633,4.2071571762466595,0.8140147211961448,0.7608022688784534,0.7175485153372089,37.953125,0.35609178716428475,0.6439082128357153
917,mlp,D,1599.5829912026722,4549.716681162517,0.8617062120594913,0.808518078074687,0.6343600831266182,0.10207342589597425,-0.7821307755463446,0.7688301002296308,2.0704617301623025,4.186193465332811,0.8134371150129786,0.7640475411381987,0.7129243164219791,37.953125,0.347065755352961,0.6529342446470391
paired mean,mlp,D,1616.349754465951,4544.8350737889605,0.8592119362826148,0.8054843411987854,0.6398392659320962,0.10262255139564837,-0.7860840496141464,0.7687940551485452,2.054560975999468,4.196675320789735,0.8137259181045616,0.7624249050083259,0.715236415879594,37.953125,0.35157877125862286,0.6484212287413772
533,mlp,C_shuffle,1708.2699767483602,4539.953466415405,0.843205344552795,0.7823212010165056,0.9024488006511495,0.1335799382229905,-1.0400286322821761,0.7295958949770364,2.7643683604482145,3.754714345559478,0.7685559871089128,0.7370022367686033,0.7024762189636627,37.953125,0.37666088570537076,0.6233391142946293
